extracted,abstract
"ankle dorsiflexion passive range of motion  df prom  measurements are performed in the 
 field of physical therapy to estimate ankle motion during functional activities1 and to prevent lower extremity injuries2  
although in the clinical setting  ankle df 
 prom is frequently measured under non  weight  bearing  non  wb  conditions1  3  4  many researchers have stated that the wb 
 position is more appropriate for estimating the amount of ankle df motion during functional 
 activities5  6"," [ purpose ] the purpose of this study was to investigate the effect of gastrocnemius 
 stretching combined with talocrural joint mobilization on weight - bearing ankle 
 dorsiflexion passive range of motion . 
 [ subjects ] eleven male subjects with bilateral 
 limited ankle dorsiflexion passive range of motion with knee extended participated in this 
 study . 
 [ methods ] all subjects received talocrural joint mobilization while performing 
 gastrocnemius stretching . 
 ankle dorsiflexion passive range of motion was measured using an 
 inclinometer under weight - bearing conditions before and immediately after intervention . 
 a 
 paired t - test was used to analyze the difference between weight - bearing ankle dorsiflexion 
 passive range of motion pre- and post - intervention . 
 [ results ] a significant increase in 
 weight - bearing ankle dorsiflexion passive range of motion was found post - intervention 
 compared with pre - intervention . 
 [ conclusion ] these findings demonstrate that gastrocnemius 
 stretching combined with joint mobilization is effective for increasing weight - bearing 
 ankle dorsiflexion passive range of motion . "
"dox is one of the key chemotherapeutic drugs for cancer treatment  but its use is limited by chronic and acute toxic side effects  
the elevated levels of gsh could effectively provide thiol group for the possible gsh mediated detoxification reactions of gpx  glutathione peroxidase  and gst  glutathione  s  transferase  which is involved in the scavenging of o2 generated from the dox"," nephrotoxicity is one of the limiting factors for using doxorubicin ( dox ) . 
 interleukin 1 has major role in dox - induced nephrotoxicity , so we investigated the effect of interleukin 1 receptor antagonist diacerein ( dia ) on dox - induced nephrotoxicity . 
 dia ( 25 and 50  mg / kg / day ) was administered orally to rats for 15 days , in the presence or absence of nephrotoxicity induced by a single intraperitoneal injection of dox ( 15  mg / kg ) at the 11th day . 
 we measured levels of serum urea , creatinine , renal reduced glutathione ( gsh ) , malondialdehyde ( mda ) , total nitrites ( nox ) , catalase , and superoxide dismutase ( sod ) . 
 in addition , caspase-3 , tumor necrosis factor alpha ( tnf ) , nuclear factor kappa b ( nfb ) expressions , and renal histopathology were assessed . 
 our results showed that dox - induced nephrotoxicity was ameliorated or reduced by both doses of dia , but diacerein high dose ( dhd ) showed more improvement than diacerein low dose ( dld ) . 
 this protective effect was manifested by significant improvement in all measured parameters compared to dox treated group by using dhd . 
 dld showed significant improvement of creatinine , mda , nox , gsh , histopathology , and immunohistochemical parameters compared to dox treated group . "
suicide is a leading cause of death among adolescents and has become a significant public health issue globally  1    moreover  we investigate the top five wcb combinations used by korean adolescents and examine the association between these five wcb combinations and suicide ideation and attempt," suicide is a leading cause of death among adolescents globally , and body weight is also a recognized reason for adolescent suicide . 
 therefore , we investigated the association between weight control behaviors ( wcb ) and suicide ideation and attempt , focusing on inappropriate weight control measures . 
 we used data from the 2014 korea youth risk behavior web - based survey , representing a total of 35,224 boys and 34,361 girls aged 12 to 18 years . 
 adolescents were classified into groups based on wcb : appropriate wcb , inappropriate wcb , and no wcb . 
 we performed logistic regression models to examine associations between wcb and suicide ideation and attempt , controlling for covariates . 
 both boys and girls with inappropriate wcb were more likely to report suicide ideation and attempt . 
 underweight and normal weight boys with inappropriate wcb were more likely to think or attempt suicide , and underweight girls with inappropriate wcb were also more likely to attempt suicide . among five common wcb combinations , 
 the combination of "" regular exercise , fasting , eating less "" was highly associated with suicide ideation and attempt . 
 we confirmed that inappropriate wcb is associated with suicide ideation and attempt among korean adolescents . 
 given the high incidence rate of suicide among adolescents and the adverse effect of inappropriate wcb , encouraging adolescents to control their weight in healthy ways is imperative . "
in the past 15 years  green fluorescent protein  gfp  has changed from a nearly unknown protein to a commonly used molecular imaging tool in biology  chemistry  genetics  and medicine  58  since some researchers have argued that the presence of tyr203 leads to a decrease in chromophore flexibility  van der waals volume for tyr  141  vs 93  for thr   and others argue that this is not necessarily so32  we have examined the conformational space available to a freely rotating chromophore in yfp  pdb code 1myw  with the phenol of tyr66 in both the protonated and unprotonated forms," green fluorescent protein ( gfp ) and gfp - like fluorescent proteins owe their photophysical properties to an autocatalytically formed intrinsic chromophore . according to quantum mechanical calculations , 
 the excited state of chromophore model systems has significant dihedral freedom , which may lead to fluorescence quenching intersystem crossing . 
 molecular dynamics simulations with freely rotating chromophoric dihedrals were performed on green , yellow , and blue fluorescent proteins in order to model the dihedral freedom available to the chromophore in the excited state . 
 most current theories suggest that a restriction in the rotational freedom of the fluorescent protein chromophore will lead to an increase in fluorescence brightness and/or quantum yield . according to our calculations , the dihedral freedom of the systems studied ( bfp > a5 > yfp > gfp ) increases in the inverse order to the quantum yield . in all simulations , 
 the chromophore undergoes a negatively correlated hula twist ( also known as a bottom hula twist mechanism ) . "
"fnas represent an advantageous  effective means to obtain diagnostic cellular material as they can often sample a wide area of the target lesion  acquire tumor cells with lower contamination by background stromal connective tissue elements  and allow for immediate assessment during rapid on  site evaluation  rose   
fnas can be performed without rose and in this setting  the contents of the fna needles are typically expelled and rinsed in a cell preservative solution for use in liquid  based cytology  lbc  preparations"," in this era of precision medicine , our understanding and knowledge of the molecular landscape associated with lung cancer pathogenesis continues to evolve . 
 this information is being increasingly exploited to treat advanced stage lung cancer patients with tailored , targeted therapy . during the management of these patients , minimally invasive procedures to obtain samples for tissue diagnoses are desirable . 
 cytologic fine - needle aspirates are often utilized for this purpose and are important not only for rendering diagnoses to subtype patients lung cancers , but also for ascertaining molecular diagnostic information for treatment purposes . 
 thus , cytologic fine - needle aspirates must be utilized and triaged judiciously to achieve both objectives . in this review , 
 strategies in utilizing fine - needle aspirates will be discussed in the context of our current understanding of the clinically actionable molecular aberrations underlying non - small cell lung cancer and the molecular assays applied to these samples in order to obtain treatment - relevant molecular diagnostic information . "
"these tumors are classified as typical net  tnet   goblet cell carcinoid  gcc   and atypical gcc histologies   after adjusting for age  stage  and histology
 there was a statistically significant difference in survival for srcc patients treated with hemicolectomy compared to appendectomy  p0"," purposeappendiceal tumors are a heterogeneous group of diseases that include typical neuroendocrine tumors ( tnet ) , goblet cell carcinoids ( gcc ) , and atypical gcc . 
 atypical gcc are classified into signet - ring cell cancers ( srcc ) and poorly differentiated appendiceal adenocarcinoids . 
 the prognosis and management of these diseases is unclear because there are no prospective studies . 
 the aim of this study is to assess the characteristics and outcome of appendiceal tnet , gcc , and srcc patients.materials and methodsappendiceal tnet , gcc , and srcc patients diagnosed between 1973 and 2011 were identified in the surveillance epidemiology and end results ( seer ) database . 
 demographics , type of surgery , and clinicopathologic characteristics were collected . 
 survival functions were estimated by the kaplan - meier method , and log - rank test was used to assess the difference in overall survival ( os ) among the three histologies.resultsthe seer database yielded 1,021 tnet patients , 1,582 with gcc , and 534 srcc patients . 
 tnet presented at a younger age ( p < 0.001 ) . 
 patients with srcc presented with advanced stage disease ( p < 0.001 ) . the median os ( mos ) for gcc and tnet patients was not reached ; mos for srcc was 24 months . 
 multivariate analysis stratified for stage revealed significantly longer survival for tnet and gcc than srcc ( p < 0.001).conclusionthis is the largest report to date for appendiceal neuroendocrine tumor patients , suggesting a spectrum of diseases with different characteristics and outcomes . in this report , we present a treatment approach for this complex spectrum of disease , based on the experience of ohio state and emory universities investigators . "
," we have prepared two new diastereoisomeric 
 2-aza-5-phosphabicyclo[2.2.1]heptanes 
 from naturally occurring trans-4-hydroxy - l - proline in six chemical operations . 
 these syntheses are concise 
 and highly efficient , with straightforward purification . when we used 
 these chiral phosphines as catalysts for reactions of -substituted 
 allenoates with imines , we obtained enantiomerically enriched pyrrolines 
 in good yields with excellent enantioselectivities . 
 these two diastereoisomeric 
 phosphines functioned as pseudoenantiomers , providing their chiral 
 pyrrolines with opposite absolute configurations . "
"igg4rd is a newly recognized fibroinflammatory condition of unknown etiology characterized by tumefactive lesions  dense lymphoplasmacytic infiltration rich in igg4positive plasma cells  storiform fibrosis and an elevated serum igg4 level  13   
however  mn associated with igg4rd has also been revealed to be igg4predominant and  interestingly  the igg subclass of the anti  pla2r antibody seen in idiopathic mn is predominantly igg4"," we report a case of igg4-related disease ( igg4-rd ) diagnosed after 3 years of follow - up for idiopathic membranous nephropathy ( mn ) . 
 mn has been considered as glomerular lesion of igg4-related kidney diseases in recent years and was diagnosed simultaneously with or after a diagnosis of igg4-rd in previously reported cases . in the present case , igg4-rd developed 3 years after the diagnosis of idiopathic mn , indicating a possible relationship between idiopathic mn and igg4-rd through common underlying mechanisms of development . "
"treatment duration lasts for months  and is often fraught with potentially dangerous side effects  
similar to other studies459 our study also shows that retinal changes usually develop within the first 3 months of interferon treatment  a fact that may favor an immune etiology rather than a cumulative effect of interferon leading to the development of retinopathy"," purposeto evaluate retinopathy associated with interferon therapy in patients with chronic hepatitis c.methodsone hundred patients with chronic hepatitis c undergoing interferon therapy were examined for the presence of cotton wool spots , retinal hemorrhages , cystoid macular edema , capillary non - perfusion , and arteriolar occlusion . 
 complete ophthalmological examination including indirect ophthalmoscopic fundus examination was carried out for all patients and colored fundus photography and fluorescein angiography were carried out for the patients with positive fundus findings . 
 the follow - up period was 9 months.resultssixteen percent of patients developed retinopathy in the form of cotton wool spots , retinal hemorrhages , cystoid macular edema , and capillary non-perfusion.conclusioninterferon therapy can lead to retinopathy which is mostly reversible and dose related . 
 periodic fundoscopic examinations help in early detection and prevent progression to permanent visual loss . "
"nathan  as an oncology fellow  knew well that white blood cells fought infections   unlike previous signs of macrophage activation  increased spreading  phagocytosis  and glucose metabolism this so  called  respiratory burst 
ifn had been on the cover of time magazine  and recombinant murine ifn was found to induce macrophages to kill tumor cells  5"," t cells tell macrophages when to start making the toxic soup of lysosomal enzymes , reactive oxygen species , and nitric oxide that destroys intracellular pathogens . in 1983 
 , carl nathan proved that this start signal comes in the form of the secreted cytokine ifn. "
"was initiated by our team about a decade ago  and this has been continued at the medical research center  kasturba health society  mumbai  
accordingly  pmts is said to be present when the woman reports three or more of the following symptoms in two cycles or more46   there are 36 symptoms as listed below in the sf36 mental component"," objective : to determine the prevalence of premenstrual cyclic symptoms in perimenopausal age.subjects and methods : women attending bhavan 's sparc maitreyi 's health care programme ( hcp ) for women around 40 years of age were included in the study . last 200 women who attended from april 2002 to october 2004 are included for analysis . 
 out of these 107 qualified for final analysis as others were post hysterectomy or post menopausal . 
 thirty five symptoms listed under premenstrual tension syndrome were analysed.results:forty one women ( 38.3% ) had 3 or more symptoms whilst 15 ( 14.0% ) had 5 or more cyclic symptoms . 
 five women ( 4.7% ) reported that the symptoms were severe . 
 eleven women had seeked treatment for premenstrual tension syndrome ( pmts ) . 
 the commonest symptom was mastalgia or heaviness of breasts . 
 next was whilst also was reported by several women . 
 women reported anger attacks and reported depression.conclusion:pmts was common between 36 and 55 years . 
 about half of them have experienced 3 more symptoms and 1 in 20 may require treatment . "
"according to the korean national statistical office  the main cause of death in korea was cancer in 2012   during the kimchi fermentation process
 the level of arginine  an ornithine precursor  has decreased while the ornithine level increased rapidly  which suggested that kimchi is a source of ornithine"," the number of death due to cancer has been increasing in korea . 
 chemotherapy is known to cause side effects because it damages not only cancerous cells but healthy cells . recently 
 , attention has focused on food - derived chemopreventive and anti - tumor agents or formulations with fewer side effects . 
 kimchi , most popular and widely consumed in korea , contains high levels of lactic acid bacteria and has been shown to possess chemopreventive effects . 
 this review focuses on weissella cibaria and lactobacillus plantarum , the representatives of kimchi lactic acid bacteria , in terms of their abilities to prevent cancer . 
 further studies are needed to understand the mechanisms by which lactic acid bacteria in kimchi prevent carcinogenic processes and improve immune functions . "
"a glomangioma is a benign vascular tumor derived from the glomus body  a specialized neuromyoarterial structure involved in thermal regulation  
the nonspecific presentation of osteomalacia  the obscure nature of the tumors that cause oo  and the rarity of glomangiomas in the head and neck make this patient s diagnosis challenging"," oncogenic osteomalacia ( oo ) is an uncommon but treatable cause of osteomalacia related to tumor production of fgf23 , usually caused by benign mesenchymal neoplasms . 
 paranasal sinus glomangiomas are a rare cause of oo , with only one previously reported case . here 
 we describe a second case ( first reported in english ) of paranasal sinus glomangioma - induced osteomalacia in a 42-year - old man . 
 he presented with weakness and multiple spontaneous fractures , and was found to have an ethmoid sinus glomangioma with intracranial extension . 
 the tumor was removed via endoscopic endonasal approach to the anterior skull base , which resulted in complete resolution of symptoms and no further evidence of disease 1  year postoperatively . "
"gestational trophoblastic disease describes a number of gynecologic tumors that originate in trophoblastic layer including hydatidiform mole  complete or partial   invasive mole  choriocarcinoma  placental site trophoblastic tumor and epitheloid trophoblastic tumor  
enlarged uterus  ovarian metastasis  perforation of uterus  and myometrium invasion the patient was iii9 according to figo staging and who scoring  7  the bilateral uterine parameters  the external surface of the endocervical canal and the omentum were invaded by tumors"," background : invasive mole is responsible for most cases of localized gestational trophoblastic neoplasia . 
 gestational trophoblastic disease describes a number of gynecologic tumors that originate in trophoblastic layer including hydatidiform mole ( complete or partial ) , invasive mole , choriocarcinoma , placental site trophoblastic tumor and epitheloid trophoblastic tumor . 
 invasive mole may arise from any pregnancy event although in most cases is diagnosed after molar pregnancy . 
 overall cure rate in low risk patients is nearly 100% and in high - risk patient 90% . in rare cases , molar tissue traverses thickness of myometrium and leads to perforation and acute abdomen and invasive mole infrequently metastasis . 
 the best treatment option is chemotherapy ( according to stage and score with single or multiple agent ) and in patients that fertility is not the matter , hysterectomy can be done.case presentation : a 41 years old g3p2ab1 woman referred to firouzgar hospital 2 months after curettage of molar pregnancy with vaginal bleeding and acute abdomen . in workup , 
 hcg 224000 miu / ml and evidence of metastasis was detected . 
 chemotherapy due to stage 3 and score 9 and surgery due to acute abdomen was done . 
 this case was reported for its rarity.discussion:this case reported about ovarian metastasis and uterine rupture with acute abdomen and involvement of omentum in metastatic invasive mole . 
 lack of surveillance led to extensive morbidity . 
 management of this patient was successful . in follow up , she was free of disease without sequel of any kind for five years now . "
"an expanded research design and methods section and supplementary figures can be found in an online data supplement available at httpdiabetes  although fasting plasma insulin levels did not differ between diet  induced obesity  dio  mice treated with vehicle  control or myriocin  more sophisticated studies monitoring the changes in plasma insulin in response to a meal tolerance test in the obese jcr  la cp rat illustrate a significant improvement in plasma insulin control after treatment with the spt1 inhibitor  l  cycloserine  supplementary fig  
metabolic profiling of mice provided further insight with regards to mitochondrial function in obese  insulin  resistant mice  as control  treated dio mice had a significant increase in long  chain acyl carnitine esters versus their lean counterparts  table 3   indicative of mitochondrial overload and the incomplete oxidation of fatty acids  19"," objectiveit has been proposed that skeletal muscle insulin resistance arises from the accumulation of intramyocellular lipid metabolites that impede insulin signaling , including diacylglycerol and ceramide . 
 we determined the role of de novo ceramide synthesis in mediating muscle insulin resistance.research design and methodsmice were subjected to 12 weeks of diet - induced obesity ( dio ) , and then treated for 4 weeks with myriocin , an inhibitor of serine palmitoyl transferase-1 ( spt1 ) , the rate - limiting enzyme of de novo ceramide synthesis.resultsafter 12 weeks of dio , c57bl/6 mice demonstrated a doubling in gastrocnemius ceramide content , which was completely reversed ( 141.5  15.8 vs. 94.6  10.2 nmol / g dry wt ) via treatment with myriocin , whereas hepatic ceramide content was unaffected by dio . 
 interestingly , myriocin treatment did not alter the dio - associated increase in gastrocnemius diacyglycerol content , and the only correlation observed between lipid metabolite accumulation and glucose intolerance occurred with ceramide ( r = 0.61 ) . 
 dio mice treated with myriocin showed a complete reversal of glucose intolerance and insulin resistance which was associated with enhanced insulin - stimulated akt and glycogen synthase kinase 3 phosphorylation . 
 furthermore , myriocin treatment also decreased intramyocellular ceramide content and prevented insulin resistance development in db / db mice . finally , myriocin - treated dio mice displayed enhanced oxygen consumption rates ( 3,041  124 vs. 2,407  124 
 ml / kg / h ) versus their control counterparts.conclusionsour results demonstrate that the intramyocellular accumulation of ceramide correlates strongly with the development of insulin resistance , and suggests that inhibition of spt1 is a potentially promising target for the treatment of insulin resistance . "
"antibodies against amp kinase  ampk   phosporylated ampk  pampk   acetyl coa carboxylase  acc   phosporylated acc  akt  phosporylated akt  and tubulin were from cell signaling  anti  oxphos was from mitosciences  anti 
cd36hrp  was purchased from novus biologicals  and human recombinant insulin  novolin  from novo nordisk canada  
immunoblots were performed on gastrocnemius muscle isolated from middle  aged wild  type and ko mice following high  fat diet and phosphorylation status of akt measured and normalized to total akt levels  n    to determine whether reduced fatty acid transport and metabolism could rescue the high  fat diet  induced phenotype
consistent with our prediction  cd36 deficiency prevented the decline in metabolic rate and energy expenditure in middle  aged mice fed a high  fat diet as compared to age  matched wild  type mice  fig"," objectivealthough advanced age is a risk factor for type 2 diabetes , a clear understanding of the changes that occur during middle age that contribute to the development of skeletal muscle insulin resistance is currently lacking . 
 therefore , we sought to investigate how middle age impacts skeletal muscle fatty acid handling and to determine how this contributes to the development of diet - induced insulin resistance.research design and methodswhole - body and skeletal muscle insulin resistance were studied in young and middle - aged wild - type and cd36 knockout ( ko ) mice fed either a standard or a high - fat diet for 12 weeks . 
 molecular signaling pathways , intramuscular triglycerides accumulation , and targeted metabolomics of in vivo mitochondrial substrate flux were also analyzed in the skeletal muscle of mice of all ages.resultsmiddle-aged mice fed a standard diet demonstrated an increase in intramuscular triglycerides without a concomitant increase in insulin resistance . 
 however , middle - aged mice fed a high - fat diet were more susceptible to the development of insulin resistance  a condition that could be prevented by limiting skeletal muscle fatty acid transport and excessive lipid accumulation in middle - aged cd36 ko mice.conclusionour data provide insight into the mechanisms by which aging becomes a risk factor for the development of insulin resistance . 
 our data also demonstrate that limiting skeletal muscle fatty acid transport is an effective approach for delaying the development of age - associated insulin resistance and metabolic disease during exposure to a high - fat diet . "
"sarcopenia is present in approximately 513 of persons over the age of 60 years and defined as the loss of skeletal muscle mass and strength with progressive decline in mobility and function  
moreover  based on earlier reports showing proinflammatory cytokines such as tnf  il6  il1  and il8 as the proposed targets of mir181a  the reduction of mir181a can be responsible for an increase in the abovementioned proinflammatory cytokines in skeletal muscle during aging process"," sarcopenia has been defined as the aging - related disease with the declined mass , strength , and function of skeletal muscle , which is the major cause of frailty and falls in elders . 
 the activation of inflammatory signal pathways due to diseases and aging is suggested to reveal the critical impact on sarcopenia . 
 several proinflammatory cytokines , especially interleukin-6 ( il-6 ) and tumor necrosis factor - alpha ( tnf- ) , play crucial roles in modulation of inflammatory signaling pathway during the aging - related loss of skeletal muscle 
 . micrornas ( mirnas ) have emerged as the important regulators for the mass and functional maintenance of skeletal muscle through regulating gene expression of proinflammatory cytokines . in this paper , we have systematically discussed regulatory mechanisms of mirnas for the expression and secretion of inflammatory cytokines during sarcopenia , which will provide some novel targets and therapeutic strategies for controlling aging - related atrophy of skeletal muscle and corresponding chronic inflammatory diseases . "
"temporary henna tattoos or pseudotattoo have become increasingly widespread among children and adolescent  as a safe and economic alternative to permanent tattoos  
to conclude  we believe that temporary black henna tattooing should be controlled by health authority legislation to minimize the appearance of new cases of reaction to ppd and the serious and permanent consequences we have presented"," temporary henna tattoos or pseudotattoos have become increasingly widespread among children and adolescent . a generalized skin reaction , type erythema multiforme - like reaction is unusual , and rarely reported . 
 we describe the case of a 7-year - old boy who reported erythematous papular bulls - eye shaped lesions and consolidated edema primarily in the upper and lower extremities . 
 these lesions were compatibles with erythema multiforme - like reaction . 
 he also showed an erythematous - eczematous lesion on his leg , shaped like a dolphin . in this area , 
 a temporary henna tattoo was painted 1-month earlier . 
 patch test was positive for paraphenylenediamine ( ppd ) . 
 skin reactions due to henna are rare . 
 most of the reactions are due to additives , especially ppd , an aniline derivative , which is added to speed up the process of skin dyeing and to give a darker brown to black color (  black  henna ) . 
 as henna tattoos are becoming increasingly popular , prevention requires the annual provision of information to consumers , especially young people and their parents . "
the romaleidae family accounts for more than 200 species of grasshoppers comprising three subfamilies  romaleinae  aucacrinae and trybliophorinae    2011  observed multiples sites of histone h3 in rhammatocerous brasiliensis  acrididae  and concluded that this would be a derived condition and the presence of a single histone site  as observed in both species studied herein  would be the ancestral form," in this study , two species of romaleidae grasshoppers , radacridium mariajoseae and r.nordestinum , were analyzed after cma3/da / dapi sequential staining and fluorescence in situ hybridization ( fish ) to determine the location of the 18s and 5s rdna and histone h4 genes . both species presented karyotypes composed of 2n = 23 , x0 with exclusively acrocentric chromosomes . 
 cma3 + blocks were detected after cma3/da / dapi staining in only one medium size autosome bivalent and in the x chromosome in r. mariajoseae . 
 on the other hand , all chromosomes , except the l1 bivalent , of r. nordestinum presented cma3 + blocks . 
 fish analysis showed that the 18s genes are restricted to the x chromosome in r. mariajoseae , whereas these genes were located in the l2 , s9 and s10 autosomes in r. nordestinum . in r. mariajoseae 
 , the 5s rdna sites were localized in the in l1 and l2 bivalents and in the x chromosome . in r. nordestinum , 
 the 5s genes were located in the l2 , l3 , m4 and m5 pairs . in both species 
 the histone h4 genes were present in a medium size bivalent . 
 together , these data evidence a great variability of chromosome markers and show that the 18s and 5s ribosomal genes are dispersed in the radacridium genome without a significant correlation . "
"the relation between chronic subclinical low  grade inflammation and insulin resistance  ir  has long been known  1  2   
in fact we previously showed that new dm group detected with hba1c has a more advanced metabolic disorder  higher bmi  waist  blood pressure  non  hdl  cholesterol  triglycerides  and insulin but lower hdl  cholesterol  than other new dm groups detected with fpg or 2hpg"," fasting plasma glucose ( fpg ) and hemoglobin a1c ( hba1c ) have been used to diagnose new - onset diabetes mellitus ( dm ) in order to simplify the diagnostic tests compared with the 2-hour oral glucose tolerance test ( ogtt ; 2-hpg ) . 
 we aimed to identify optimal cut - off points of high sensitive c - reactive protein ( hs - crp ) in new - onset dm people based on fpg , 2-hpg , or hba1c methods . 
 data derived from recent population - based survey in turkey ( turdep - ii ) . 
 the study included 26,499 adult people ( 63% women , response rate 85% ) . 
 the mean serum concentration of hs - crp in women was higher than in men ( p < 0.001 ) . 
 the people with new - onset dm based on hba1c had higher mean hs - crp level than fpg based and 2-hpg based dm cases . in hba1c , 2-hpg , and 
 fpg based new - onset dm people , cut - off levels of hs - crp in women were 2.9 , 2.1 , and 2.5  mg / l [ 27.5 , 19.7 , and 23.5  nmol / l ] and corresponding values in men were 2.0 , 1.8 , and 1.8  mg / l ( 19.0 , 16.9 , and 16.9  
 nmol / l ) , respectively ( sensitivity 6065% and specificity 5464% ) . 
 our results revealed that hs - crp may not further strengthen the diagnosis of new - onset dm . 
 nevertheless , the highest hs - crp level observed in new - onset dm people diagnosed with hba1c criterion supports the general assumption that this method might recognize people in more advanced diabetic stage compared with other diagnostic methods . "
"they can be caused by mutations in nuclear genes either relating to mitochondrial components or mitochondrial dna  mtdna   
sixty  eight patients  68  were found to have mri  ct abnormalities  including abnormal asymmetric signals in occipital area  5168  75   temporal area  2168  31   parietal area  2068  29   bilateral basal ganglia calcification  1668  24   cerebral atrophy  1068  15   and thalamus and brainstem lesions  568  7"," background : mitochondrial diseases are a group of energy metabolic disorders with multisystem involvements . 
 variable clinical features present a major challenge in pediatric diagnoses . 
 we summarized the clinical spectrum of m.3243a > g mutation in chinese pediatric patients , to define the common clinical manifestations and study the correlation between heteroplasmic degree of the mutation and clinical severity of the disease.methods:clinical data of one - hundred pediatric patients with symptomatic mitochondrial disease harboring m.3243a > g mutation from 2007 to 2013 were retrospectively reviewed . 
 detection of m.3243a > g mutation ratio was performed by polymerase chain reaction ( pcr)-restriction fragment length polymorphism . 
 correlation between m.3243a > g mutation ratio and age was evaluated . 
 the differences in clinical symptom frequency of patients with low , middle , and high levels of mutation ratio were analyzed by chi - square test.results:sixty-six patients ( 66% ) had suffered a delayed diagnosis for an average of 2 years . 
 the most frequent symptoms were seizures ( 76% ) , short stature ( 73% ) , elevated plasma lactate ( 70% ) , abnormal magnetic resonance imaging / computed tomography ( mri / ct ) changes ( 68% ) , vomiting ( 55% ) , decreased vision ( 52% ) , headache ( 50% ) , and muscle weakness ( 48% ) . 
 the mutation ratio was correlated negatively with onset age ( r = 0.470 , p < 0.001 ) . 
 myopathy was more frequent in patients with a high level of mutation ratio . 
 however , patients with a low or middle level of m.3243a > g mutation ratio were more likely to suffer hearing loss , decreased vision , and gastrointestinal disturbance than patients with a high level of mutation ratio.conclusions:our study showed that half of chinese pediatric patients with m.3243a > g mutation presented seizures , short stature , abnormal mri / ct changes , elevated plasma lactate , vomiting , and headache . 
 pediatric patients with these recurrent symptoms should be considered for screening m.3243a > g mutation . 
 clinical manifestations and laboratory abnormalities should be carefully monitored in patients with this point mutation . "
"prolonged exposure to microgravity has significant effects on physiological conditions   
the motor conduction velocities  the proximal and distal amplitudes of the compound muscle action potentials  cmaps   and the proximal and distal latencies of the median  ulnar  tibial  and fibular nerves were recorded  representative images of the ncs of the tibial nerve are shown in figure 1"," background : few studies have focused on peripheral nerve conduction during exposure to microgravity . the 6 head - down tilt ( hdt ) comprises an experimental model used to simulate the space flight environment . 
 this study investigated nerve conduction characteristics of rhesus monkeys before and after prolonged exposure to hdt.methods:six rhesus monkeys ( 34 years old ) were tilted backward 6 from the horizontal . 
 nerve conduction studies ( ncss ) were performed on the median , ulnar , tibial , and fibular motor nerves . 
 analysis of variance with a randomized block design was conducted to compare the differences in the ncs before and 7 , 21 , and 42 days after the 6 hdt.results:the proximal amplitude of the cmap of the median nerve was significantly decreased at 21 and 42 days of hdt compared with the amplitude before hdt ( 4.38  2.83 vs. 8.40  2.66 mv , f = 4.85 , p = 0.013 and 3.30  2.70 vs. 8.40  2.66 mv , f = 5.93 , p = 0.004 , respectively ) . 
 the distal amplitude of the cmap of the median nerve was significantly decreased at 7 , 21 , and 42 days of hdt compared with the amplitude before hdt ( 7.28  1.27 vs. 10.25  3.40 mv , f = 4.03 , p = 0.039 ; 5.05  2.01 vs. 10.25  3.40 mv , f = 6.25 , p = 0.04 ; and 3.95  2.79 vs. 10.25  3.40 mv , f = 7.35 , p = 0.01 ; respectively ) . 
 the proximal amplitude of the cmap of the tibial nerve was significantly decreased at 42 days of hdt compared with the amplitude before hdt ( 6.14  1.94 vs. 11.87  3.19 mv , f = 5.02 , p = 0.039).conclusions : this study demonstrates that the compound muscle action potential amplitudes of nerves are decreased under simulated microgravity in rhesus monkeys . 
 moreover , rhesus monkeys exposed to hdt might be served as an experimental model for the study of ncs under microgravity . "
"a 55 year  old man visited our emergency department because of increasing frequency of chest pain  
exertional chest pain recurred at 7 years after surgery  and a repeated coronary angiography showed patent previous grafts including faint visualization of the in situ rgea graft associated with significant stenosis at the os of the celiac axis"," we report a redo coronary artery bypass grafting ( cabg ) in a 55-year - old man . 
 angina recurred 7 years after the initial surgery . 
 coronary angiography showed all patent grafts except a faint visualization of the in situ right gastroepiploic artery ( rgea ) graft , which was anastomosed to the posterior descending coronary artery , associated with celiac axis stenosis . 
 redo - cabg was performed at postoperative 10 years because of aggravated angina and decreased perfusion of the inferior wall in the myocardial single photon emission computed tomography . 
 the saphenous vein graft was interposed between the 2 in situ grafts used previously ; the right internal thoracic artery and rgea grafts . 
 angina was relieved and myocardial perfusion was improved . "
